epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3503.35,0.61451,0.35391,1.01075,0.95411,0.9828,0.98629,0.87673,0.49026,0.26953,0.94474,0.000458,0.000458,0.000458
66,3556.6,0.60164,0.34607,1.00434,0.95727,0.98699,0.98603,0.88108,0.47608,0.26757,0.9385,0.000445625,0.000445625,0.000445625
67,3610.3,0.60323,0.35019,1.0061,0.9681,0.97836,0.98739,0.88471,0.47744,0.2554,0.93634,0.00043325,0.00043325,0.00043325
68,3664.06,0.60184,0.34686,1.00409,0.95388,0.98255,0.98755,0.88288,0.48055,0.26281,0.936,0.000420875,0.000420875,0.000420875
69,3717.5,0.60531,0.35115,1.00765,0.94305,0.98727,0.98581,0.88675,0.46945,0.26438,0.93449,0.0004085,0.0004085,0.0004085
70,3771.2,0.60196,0.34558,1.00167,0.95735,0.97927,0.98257,0.88225,0.47683,0.26272,0.93988,0.000396125,0.000396125,0.000396125
71,3824.49,0.59662,0.33762,1.00192,0.96321,0.97875,0.98706,0.87668,0.49241,0.25997,0.94496,0.00038375,0.00038375,0.00038375
72,3878.43,0.59411,0.34324,0.99645,0.95824,0.98196,0.98749,0.88423,0.48396,0.25498,0.94024,0.000371375,0.000371375,0.000371375
73,3931.91,0.59489,0.33512,0.99237,0.95556,0.98362,0.98463,0.88238,0.47857,0.25828,0.94011,0.000359,0.000359,0.000359
74,3985.34,0.5956,0.33572,1.00097,0.9604,0.98692,0.98515,0.88232,0.47617,0.2525,0.93559,0.000346625,0.000346625,0.000346625
75,4038.66,0.58585,0.33387,0.99133,0.9595,0.98232,0.98651,0.88258,0.47664,0.253,0.93718,0.00033425,0.00033425,0.00033425
76,4091.91,0.59187,0.33634,0.99928,0.9613,0.98896,0.98568,0.87499,0.48806,0.25246,0.94138,0.000321875,0.000321875,0.000321875
77,4145.33,0.59424,0.33918,0.99918,0.96128,0.9845,0.98591,0.88191,0.48585,0.25225,0.94047,0.0003095,0.0003095,0.0003095
78,4198.69,0.58988,0.3312,0.99897,0.94731,0.99005,0.98641,0.88024,0.49255,0.25798,0.94518,0.000297125,0.000297125,0.000297125
